kayttajaId,kayttajanIstuntoId,tiiminTaso,alustaTyyppi,laskuri_peliklikkaukset,laskuri_osumat,laskuri_ostot,avg_hinta
812,5648,1,laptop,69,8,0,0
1658,5649,1,mobile,31,5,0,0
1589,5650,1,mobile,26,2,0,0
1863,5651,1,laptop,35,4,0,0
937,5652,1,laptop,39,0,1,1.00
342,5653,1,laptop,36,5,0,0
849,5654,1,mobile,40,5,0,0
1277,5655,1,desktop,46,8,0,0
2203,5656,1,laptop,68,6,0,0
585,5657,1,mobile,76,9,0,0
1370,5658,1,mobile,69,6,0,0
1623,5659,1,mobile,129,9,1,10.00
881,5660,1,mobile,36,6,0,0
83,5661,1,laptop,102,14,1,5.00
453,5662,1,laptop,102,7,0,0
1966,5663,1,mobile,63,8,0,0
1073,5664,1,laptop,141,21,0,0
121,5665,1,laptop,39,4,1,3.00
462,5666,1,laptop,90,10,1,3.00
708,5667,1,mobile,32,2,0,0
1145,5668,1,desktop,102,17,0,0
445,5669,1,laptop,79,8,0,0
351,5670,1,desktop,51,5,0,0
2355,5671,1,mobile,93,9,0,0
591,5672,1,desktop,134,14,0,0
1900,5673,1,desktop,61,3,0,0
770,5674,1,mobile,72,4,0,0
170,5675,1,mobile,64,7,0,0
1926,5676,1,laptop,50,4,0,0
1035,5677,1,laptop,73,14,0,0
1559,5678,1,laptop,199,24,0,0
819,5679,1,mobile,51,8,1,20.00
1588,5680,1,laptop,32,2,0,0
1034,5681,1,mobile,38,1,0,0
782,5682,1,mobile,48,5,0,0
2368,5683,1,mobile,63,4,0,0
1631,5684,1,desktop,25,4,0,0
1756,5685,1,laptop,58,6,0,0
1629,5686,1,mobile,45,6,0,0
1315,5687,1,desktop,188,21,0,0
852,5688,1,laptop,31,5,0,0
982,5689,1,mobile,96,14,0,0
2120,5690,1,mobile,59,3,0,0
344,5691,1,mobile,84,16,0,0
489,5692,1,mobile,82,8,0,0
411,5693,1,mobile,53,5,0,0
2229,5694,1,mobile,63,5,0,0
1924,5695,1,mobile,49,5,0,0
970,5696,1,mobile,34,2,0,0
2199,5697,1,laptop,51,6,2,2.50
1143,5698,1,laptop,47,5,2,2.00
515,5699,1,mobile,73,9,0,0
1353,5700,1,laptop,132,11,0,0
2333,5701,1,laptop,283,28,0,0
355,5702,1,mobile,114,14,0,0
1560,5703,1,laptop,101,15,0,0
1928,5704,1,laptop,85,9,0,0
1874,5705,1,peliluola,45,3,0,0
1652,5706,1,laptop,46,7,1,1.00
867,5707,1,mobile,77,8,0,0
1175,5708,1,mobile,116,11,0,0
2222,5709,1,mobile,41,6,1,20.00
1082,5710,1,mobile,39,4,0,0
128,5711,1,mobile,38,3,0,0
744,5712,1,desktop,94,4,0,0
487,5713,1,mobile,78,8,0,0
1591,5714,1,mobile,62,10,0,0
1972,5715,1,peliluola,284,29,0,0
374,5716,1,laptop,47,7,1,3.00
321,5717,1,desktop,63,5,0,0
673,5718,1,mobile,126,18,0,0
1191,5719,1,mobile,55,8,0,0
1535,5720,1,mobile,76,7,1,20.00
21,5721,1,laptop,52,2,1,3.00
2053,5722,1,laptop,68,4,0,0
309,5723,1,desktop,73,9,0,0
1260,5724,1,mobile,43,3,0,0
343,5725,1,desktop,68,2,0,0
217,5726,1,peliluola,39,2,0,0
1205,5727,1,laptop,25,3,0,0
751,5728,1,laptop,59,7,0,0
1173,5729,1,mobile,41,3,0,0
1214,5730,1,other_device,72,11,0,0
2004,5731,1,mobile,39,4,0,0
1485,5732,1,mobile,81,14,0,0
292,5733,1,desktop,327,27,0,0
127,5734,1,mobile,52,4,0,0
1404,5735,1,peliluola,85,6,0,0
2161,5736,1,laptop,71,9,0,0
1387,5737,1,laptop,75,13,0,0
422,5738,1,laptop,66,2,0,0
1362,5739,1,mobile,114,9,0,0
28,5740,1,mobile,27,3,0,0
1042,5741,1,laptop,44,3,0,0
2243,5742,1,laptop,61,9,0,0
1059,5743,1,laptop,45,2,0,0
1368,5744,1,mobile,64,9,0,0
25,5745,1,peliluola,63,10,0,0
1072,5746,1,mobile,123,19,0,0
239,5747,1,mobile,68,11,0,0
600,5748,1,mobile,93,11,0,0
2379,5749,1,laptop,62,9,1,3.00
2283,5750,1,laptop,63,5,0,0
30,5751,1,mobile,40,3,0,0
1351,5752,1,mobile,66,5,0,0
1669,5753,1,mobile,106,10,0,0
155,5754,1,laptop,36,4,0,0
1349,5755,1,mobile,37,6,0,0
212,5756,1,laptop,107,12,0,0
899,5757,1,desktop,347,34,0,0
1793,5758,1,laptop,75,7,0,0
76,5759,1,desktop,38,5,0,0
1742,5760,1,laptop,50,6,0,0
2336,5761,1,desktop,280,29,0,0
706,5762,1,mobile,63,5,0,0
1731,5763,1,mobile,70,3,0,0
2359,5764,1,mobile,77,11,0,0
1320,5765,1,mobile,191,23,0,0
845,5766,1,laptop,61,7,0,0
1856,5767,1,other_device,70,12,0,0
1640,5768,1,mobile,69,7,0,0
142,5769,1,mobile,73,9,0,0
1807,5770,1,mobile,177,25,2,7.50
820,5771,1,laptop,40,4,0,0
807,5772,1,other_device,51,5,0,0
279,5773,1,desktop,59,4,0,0
1513,5774,1,peliluola,125,11,0,0
868,5775,1,mobile,54,5,1,10.00
1326,5776,1,mobile,43,5,0,0
1567,5777,1,laptop,27,4,2,4.00
1206,5778,1,laptop,54,4,0,0
221,5779,1,mobile,37,2,1,20.00
2360,5780,1,laptop,36,5,0,0
2149,5781,1,laptop,36,2,0,0
1318,5782,1,mobile,84,9,0,0
2306,5783,1,laptop,67,5,1,1.00
1465,5784,1,laptop,184,23,0,0
1065,5785,1,mobile,37,5,2,11.50
2231,5786,1,mobile,40,5,0,0
181,5787,1,laptop,37,5,0,0
827,5788,1,mobile,75,5,1,20.00
1525,5789,1,mobile,60,5,0,0
1844,5790,1,laptop,96,9,0,0
2139,5791,1,laptop,29,2,0,0
2382,5792,1,laptop,91,12,0,0
2194,5793,1,mobile,181,24,0,0
657,5794,1,laptop,65,7,0,0
835,5795,1,laptop,82,5,0,0
1057,5796,1,other_device,72,12,0,0
415,5797,1,mobile,32,2,0,0
1304,5798,1,peliluola,71,9,2,11.50
699,5799,1,peliluola,63,2,0,0
757,5800,1,laptop,79,8,0,0
222,5801,1,mobile,53,6,0,0
2252,5802,1,mobile,75,7,0,0
204,5803,1,desktop,33,2,0,0
1501,5804,1,laptop,63,4,0,0
2051,5805,1,mobile,60,8,0,0
1264,5806,1,other_device,81,12,1,5.00
1026,5807,1,mobile,52,10,1,20.00
209,5808,1,peliluola,56,6,0,0
611,5809,1,mobile,42,1,0,0
1834,5810,1,laptop,35,4,0,0
649,5811,1,other_device,51,9,1,1.00
1997,5812,1,laptop,37,5,0,0
210,5813,1,laptop,138,10,0,0
2028,5814,1,mobile,157,17,0,0
872,5815,1,mobile,135,17,0,0
1740,5816,1,desktop,24,3,0,0
1958,5817,1,laptop,40,3,1,20.00
2314,5818,1,desktop,113,11,0,0
1430,5819,1,mobile,80,13,0,0
1300,5820,1,laptop,58,1,2,3.00
352,5821,1,mobile,61,6,0,0
283,5822,1,desktop,32,7,0,0
511,5823,1,mobile,87,10,0,0
2263,5824,1,mobile,78,11,0,0
1471,5825,1,mobile,95,7,0,0
2177,5826,1,mobile,227,30,0,0
60,5827,1,mobile,38,3,0,0
1029,5828,1,mobile,38,4,0,0
1769,5829,1,mobile,177,19,0,0
1790,5830,1,laptop,82,10,0,0
1664,5831,1,desktop,232,23,0,0
2092,5832,1,mobile,66,8,0,0
624,5833,1,mobile,105,10,0,0
178,5834,1,mobile,54,6,1,20.00
1,5835,1,laptop,73,7,0,0
1892,5836,1,other_device,33,3,0,0
456,5837,1,laptop,66,12,0,0
538,5838,1,laptop,36,5,0,0
1224,5839,1,mobile,59,5,0,0
1275,5840,1,mobile,43,4,0,0
504,5841,1,mobile,33,2,0,0
1473,5842,1,mobile,76,10,0,0
2178,5843,1,mobile,72,10,0,0
670,5844,1,mobile,38,3,2,20.00
101,5845,1,peliluola,21,2,0,0
2296,5846,1,peliluola,63,6,0,0
1516,5847,1,desktop,112,10,0,0
896,5848,1,desktop,52,8,0,0
1429,5849,1,mobile,67,5,0,0
1367,5850,1,desktop,38,7,0,0
303,5851,1,laptop,46,5,0,0
1270,5852,1,mobile,100,3,0,0
844,5853,1,mobile,33,1,0,0
2197,5854,1,mobile,81,12,0,0
208,5855,1,mobile,32,3,1,20.00
1199,5856,1,mobile,79,5,0,0
710,5857,1,laptop,72,7,0,0
157,5858,1,mobile,32,2,1,10.00
2262,5859,1,laptop,50,2,0,0
2221,5860,1,mobile,191,18,2,11.50
900,5861,1,other_device,45,7,0,0
2214,5862,1,desktop,48,4,0,0
471,5863,1,mobile,45,6,2,15.00
534,5864,1,laptop,32,4,0,0
175,5865,1,desktop,42,7,0,0
1234,5866,1,laptop,46,3,1,10.00
1329,5867,1,laptop,42,4,0,0
2279,5868,1,mobile,54,2,0,0
90,5869,1,laptop,26,1,0,0
371,5870,1,laptop,53,9,1,3.00
